Classe::DRA502_11	DRA502;00011;4.0;2.0;1;dumm;B204;Gr51,Gr52,Gr53,Gr54
Classe::ECR502_11	ECR502;00011;4.0;2.0;1;chee;nil;Gr51,Gr52,Gr53,Gr54
Classe::ECR502_12	ECR502;00012;4.0;2.0;1;beas;nil;Gr51,Gr52,Gr53,Gr54
Classe::ECR502_21	ECR502;00021;4.0;2.0;2;chee;nil;Gr51,Gr52,Gr53,Gr54
Classe::ECR502_22	ECR502;00022;4.0;2.0;2;beas;nil;Gr51,Gr52,Gr53,Gr54
Classe::GTR502_21	GTR502;00021;4.0;2.0;2;bruj;B108;Gr51,Gr52,Gr53,Gr54

MetaClasse::ART5B	Cycle_unique2;ART502_12;ART502_22;DRA502_12;ECR502_13;ECR502_23
Classe::ART502_12	ART502;00012;4.0;2.0;1;wilj;B016;Gr55,Gr56
Classe::ART502_22	ART502;00022;4.0;2.0;2;wilj;B016;Gr55,Gr56
Classe::DRA502_12	DRA502;00012;4.0;2.0;1;dumm;B204;Gr55,Gr56
Classe::ECR502_13	ECR502;00013;4.0;2.0;1;beas;nil;Gr55,Gr56
Classe::ECR502_23	ECR502;00023;4.0;2.0;2;beas;nil;Gr55,Gr56

MetaClasse::ART5C	Cycle_unique2;DRA502_00013;DRA502_23;ECR502_14;ECR502_15;ECR502_24;ECR502_25;GTR502_13
Classe::DRA502_00013	DRA502;00013;4.0;2.0;1;dumm;nil;Gr57,Gr58,Gr59
Classe::DRA502_23	DRA502;00023;4.0;2.0;2;dumm;nil;Gr57,Gr58,Gr59
Classe::ECR502_14	ECR502;00014;4.0;2.0;1;beas;nil;Gr57,Gr58,Gr59
Classe::ECR502_15	ECR502;00015;4.0;2.0;1;chee;nil;Gr57,Gr58,Gr59
Classe::ECR502_24	ECR502;00024;4.0;2.0;2;beas;nil;Gr57,Gr58,Gr59
Classe::ECR502_25	ECR502;00025;4.0;2.0;2;chee;nil;Gr57,Gr58,Gr59
Classe::GTR502_13	GTR502;00013;4.0;2.0;1;bruj;B108;Gr57,Gr58,Gr59

MetaClasse::CHI52	Cycle_unique2;CHI504_52
Classe::CHI504_52	CHI504;00052;5.0;5.0;0;ayon;LaboChi;Gr52

MetaClasse::CHI54	Cycle_unique2;CHI504_54
Classe::CHI504_54	CHI504;00054;5.0;5.0;0;ayon;LaboChi;Gr54

MetaClasse::CHI55	Cycle_unique2;CHI504_55
Classe::CHI504_55	CHI504;00055;5.0;5.0;0;frem;LaboChi;Gr55

MetaClasse::CHI56	Cycle_unique2;CHI504_56
Classe::CHI504_56	CHI504;00056;5.0;5.0;0;frem;LaboChi;Gr56

MetaClasse::ECR101	Cycle_unique1;ECR102_101
Classe::ECR102_101	ECR102;00101;2.0;2.0;0;perj;nil;Gr101

MetaClasse::ECR102	Cycle_unique1;ECR102_102
Classe::ECR102_102	ECR102;00102;2.0;2.0;0;INF2;nil;Gr102

