Classe::EPS600_04	EPS600;00004;3.0;3.0;0;desms;GymVert;Gr601,Gr602,Gr603,Gr604

MetaClasse::EPSP5	Cycle2;EPS500_01;EPS500_02;EPS500_03;EPS500_04
Classe::EPS500_01	EPS500;00001;4.0;4.0;0;brije;Pisc;Gr501,Gr502,Gr503,Gr504
Classe::EPS500_02	EPS500;00002;4.0;4.0;0;prog;GymOra;Gr501,Gr502,Gr503,Gr504
Classe::EPS500_03	EPS500;00003;4.0;4.0;0;pela;GymBleu;Gr501,Gr502,Gr503,Gr504
Classe::EPS500_04	EPS500;00004;4.0;4.0;0;robep;GymVert;Gr501,Gr502,Gr503,Gr504

MetaClasse::EPS2A	Cycle1;EPS202_01;EPS202_02;EPS202_03;EPS202_04
Classe::EPS202_01	EPS202;00001;3.0;3.0;0;brije;Pisc;Gr21,Gr22,Gr23,Gr24
Classe::EPS202_02	EPS202;00002;3.0;3.0;0;chal;GymOra;Gr21,Gr22,Gr23,Gr24
Classe::EPS202_03	EPS202;00003;3.0;3.0;0;desms;GymBleu;Gr21,Gr22,Gr23,Gr24
Classe::EPS202_04	EPS202;00004;3.0;3.0;0;robep;GymVert;Gr21,Gr22,Gr23,Gr24

MetaClasse::EPS2B	Cycle1;EPS202_05;EPS202_06;EPS202_07;EPS202_08
Classe::EPS202_05	EPS202;00005;3.0;3.0;0;angm;Pisc;Gr25,Gr26,Gr27,Gr28
Classe::EPS202_06	EPS202;00006;3.0;3.0;0;brije;GymOra;Gr25,Gr26,Gr27,Gr28
Classe::EPS202_07	EPS202;00007;3.0;3.0;0;desms;GymBleu;Gr25,Gr26,Gr27,Gr28
Classe::EPS202_08	EPS202;00008;3.0;3.0;0;pela;GymVert;Gr25,Gr26,Gr27,Gr28

MetaClasse::EPS3A	Cycle2;EPS302_01;EPS302_02;EPS302_04;SPR3MULT_01;SPR3SOC_01;SPR3VOL_01
Classe::EPS302_01	EPS302;00001;3.0;3.0;0;angm;Pisc;Gr31,Gr32,Gr33,Gr34
Classe::EPS302_02	EPS302;00002;3.0;3.0;0;chal;GymOra;Gr31,Gr32,Gr33,Gr34
Classe::EPS302_04	EPS302;00004;3.0;3.0;0;pela;GymBleu;Gr31,Gr32,Gr33,Gr34
Classe::SPR3MULT_01	SPR3MULT;00001;3.0;5.0;0;prog;nil;Gr31,Gr32,Gr33,Gr34
Classe::SPR3SOC_01	SPR3SOC;00001;3.0;3.0;0;desms;GymVert;Gr31,Gr32,Gr33,Gr34
Classe::SPR3VOL_01	SPR3VOL;00001;3.0;5.0;0;robep;nil;Gr31,Gr32,Gr33,Gr34

MetaClasse::EPS3B	Cycle2;EPS302_05;EPS302_06;EPS302_07;EPS302_08
Classe::EPS302_05	EPS302;00005;3.0;3.0;0;angm;Pisc;Gr35,Gr36,Gr37,Gr38
Classe::EPS302_06	EPS302;00006;3.0;3.0;0;chal;GymOra;Gr35,Gr36,Gr37,Gr38
Classe::EPS302_07	EPS302;00007;3.0;3.0;0;prog;GymBleu;Gr35,Gr36,Gr37,Gr38
Classe::EPS302_08	EPS302;00008;3.0;3.0;0;brije;GymVert;Gr35,Gr36,Gr37,Gr38

MetaClasse::EPS4A	Cycle2;EPS402_01;EPS402_02;EPS402_04;SPR4MULT_01;SPR4SOC_01;SPR4VOL_01
